ZONAS	EMPREGOS	POP	DOMICILIOS	PEA
1	42.438	488.294	132.446	460.674
2	229.825	863.829	705.817	137.306
3	41.812	329.147	122.317	89.112
4	156.163	1010357	829.559	389.087
5	60.082	416.631	348.208	93.815
6	413.358	1881013	1638423	134.35
7	33.651	280.937	26.157	113.485
8	70.207	288.189	268.781	220.886
9	307.034	1703379	28.019	425.724
10	23.838	124.317	18.077	39.859
11	38.582	176.793	57.131	104.871
12	63.587	212.658	204.381	27.379
13	54.584	239.995	232.13	100.995
14	27.563	231.338	154.344	67.516
15	68.122	377.945	155.539	98.291
16	51.162	153.437	111.54	51.673
17	72.362	218.153	101.314	129.099
18	3.189	36.082	31.717	26.618
19	37.14	136.123	65.624	96.633
20	11.639	42.222	15.989	33.577
21	6.013	32.222	4.454	5.521
22	10.831	60.446	41.06	30.257
23	64.937	147.709	77.26	123.464
24	8.517	43.682	9.716	31.241
25	1.067	22.909	15.277	19.397
26	9.859	31.73	2.022	7.008
27	4.371	11.579	9.082	7.329
28	760.36765	7.679	894.17433	7.284
29	7.54	20.651	13.291	382.389
30	13.837	49.561	32.218	12.483
31	1.903	13.587	3.78	5.781
32	32.674	68.569	2.568	37.497
33	83.702	57.268	56.774	6.524
34	29.839	119.566	81.875	88.283
35	32.776	141.76	105.416	95.123
36	2.046	26.749	2.767	19.97
37	21.33	68.902	27.662	8.468
38	5.583	6.758	4.651	1.672
39	4.436	26.841	9.24	17.496
40	3.305	1.016	346.06747	224.763
41	6.364	37.463	20.328	1.249
42	13.171	52.688	11.633	28.999
43	8.008	15.77	15.444	4.189
44	7.051	23.565	3.414	3.195
45	18.018	54.674	19.785	21.448
46	44.808	35.467	31.047	16.233
47	22.794	31.718	5.725	29.693
48	4.706	2.575	1.482	2.137
49	19.034	8.717	5.651	6.249
50	4.079	1.089	278.05421	737.534
51	7.464	17.262	8.564	11.015
52	18.353	4.433	3.881	3.736
53	13.881	45.077	3.204	10.614
54	29.294	60.357	35.387	56.955
55	8.975	25.005	12.121	5.952
56	11.129	28.929	14.478	25.432
57	7.569	13.238	3.641	2.136
58	17.676	548.57661	1.275	459.256
59	105.767	1.378	2.799	323.036
60	191.937	386.93341	2.315	265.629
61	54.085	35.35945	1.903	17.514
62	26.802	290.95776	1.395	228.655
63	27.955	836.50356	2.242	50.596
64	46.975	3.257	3.217	3.09
65	4.587	4.107	740.1443	639.261
66	77.14	8.406	5.94	6.246
67	10.855	79.81133	171.033345	64.218
68	13.681	8.332	1.4	7.617
69	4.278	23.193	21.686	6.91
70	14.797	14.603	14.279	11.929
71	1.855	2.758	1.216	2.568
72	6.864	16.744	12.991	12.753
73	6.685	27.306	7.529	3.026
74	840.09165	9.214	7.31	709.317
75	24.159	25.826	17.493	85.624
76	52.254	46.199	41.358	19.283
77	13.709	39.477	12.345	20.858
78	40.267	54.705	20.644	43.879
79	9.989	25.541	24.449	6.786
80	16.316	50.329	40.642	47.141
81	6.308	11.036	10.018	2.747
82	3.938	8.239	5.733	1.934
83	1.46	12.043	6.384	6.093
84	5.34	11.888	5.94	7.038
85	6.563	12.193	4.281	9.99
86	21.274	37.295	32.274	3.658
87	5.061	11.093	8.001	4.012
88	28.84	19.94	18.395	18.517
89	44.304	38.251	23.842	10.769
90	3.955	19.604	4.729	14.62
91	12	6.471	3.098	5.499
92	2.301	7.085	6.722	5.056
93	15.822	40.291	38.729	35.23
94	12.251	46.752	30.575	30.348
95	2.016	13.778	9.397	8.109
96	19.902	87.693	68.046	48.775
97	6.941	8.996	4.949	2.873
98	54.919	229.778	6.11	68.201
99	17.983	79.609	59.981	30.243
100	4.342	2.013	1.672	356.118
101	4.248	9.996	4.852	7.495
102	44.958	4.044	634.12363	3.654
103	3.347	9.583	6.103	1.262
104	14.302	2.777	2.007	539.042
105	89.148	19.965	6.976	18.779
106	20.27	55.56485	553.107835	29.19
107	31.338	23.136	17.291	12.633
108	9.197	27.937	9.583	10.97
109	1.7	7.307	2.392	4.859
110	2.366	3.567	2.111	407.687
111	152.47215	7.207	5.434	5.82
112	4.759	20.498	11.97	10.468
113	3.782	11.393	9.869	1.056
114	7.273	27.996	20.5	3.869
115	4.352	12.928	12.385	4.771
116	61.567	35.908	3.086	19.332
117	2.89	7.252	1.081	4.142
118	23.125	24.425	21.532	22.735
119	14.269	19.227	17.455	15.193
