;Nº_boletim;data_boletim; Nº_municipio;nome_municipio;seq_logradouros;Nº_logradouro;tipo_logradouro;nome_logradouro;tipo_logradouro_anterior;nome_logradouro_anterior;Nº_bairro;nome_bairro;tipo_bairro;descricao_tipo_bairro;Nº_imovel;Nº_imovel_proximo
0;2020-060939318-001;19/12/2020 15:10;1;BELO HORIZONTE                ;1;117712;RUA;JOAO ARANTES                                      ;RUA;CINQUENTA E UM                                    ;808;UNIAO                                             ;B ;BAIRRO                        ;0;0
1;2020-005366112-001;31/01/2020 15:27;1;BELO HORIZONTE                ;1;117712;RUA;JOAO ARANTES                                      ;RUA;CINQUENTA E UM                                    ;808;UNIAO                                             ;B ;BAIRRO                        ;341;0
2;2020-040388513-001;21/08/2020 13:14;1;BELO HORIZONTE                ;2;117712;RUA;JOAO ARANTES                                      ;RUA;CINQUENTA E UM                                    ;645;CIDADE NOVA                                       ;B ;BAIRRO                        ;0;0
3;2020-029371860-001;19/06/2020 12:04;1;BELO HORIZONTE                ;1;117712;RUA;JOAO ARANTES                                      ;RUA;CINQUENTA E UM                                    ;645;CIDADE NOVA                                       ;B ;BAIRRO                        ;0;0
4;2020-054108200-001;09/11/2020 14:08;1;BELO HORIZONTE                ;1;117712;RUA;JOAO ARANTES                                      ;RUA;CINQUENTA E UM                                    ;808;UNIAO                                             ;B ;BAIRRO                        ;25;0
5;2020-011499735-001;05/03/2020 11:50;1;BELO HORIZONTE                ;2;116520;RUA;EMILIO PINHEIRO DE BARROS                         ;RUA;DEZESSETE                                         ;768;SANTA LUCIA                                       ;B ;BAIRRO                        ;0;0
6;2020-028611830-002;15/06/2020 13:24;1;BELO HORIZONTE                ;1;116587;RUA;CEUTA                                             ;RUA;TRES                                              ;634;CANAA                                             ;B ;BAIRRO                        ;0;0
7;2020-045189509-001;11/09/2020 16:00;1;BELO HORIZONTE                ;1;116587;RUA;CEUTA                                             ;RUA;TRES                                              ;634;CANAA                                             ;B ;BAIRRO                        ;0;0
8;2020-012543314-001;11/03/2020 08:58;1;BELO HORIZONTE                ;1;116791;RUA;MARIA VAZ DE MELO                                 ;RUA;TRES                                              ;662;DONA CLARA                                        ;B ;BAIRRO                        ;100;0
9;2020-033459095-001;12/07/2020 19:16;1;BELO HORIZONTE                ;2;116791;RUA;MARIA VAZ DE MELO                                 ;RUA;TRES                                              ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
